code_commune,annee,population,taux_chomage,revenu_median,taux_criminalite
01053,2026,41111.0,15.5739574908589,19290.0,5.6234
01054,2026,1457.0,3.75146260968532,26360.0,2.6889
01056,2026,349.0,5.72423869886218,20200.0,0.0
01058,2026,828.0,8.41738928142274,22180.0,0.0
01060,2026,493.0,5.62871601041024,23990.0,0.0
01061,2026,1144.0,8.47902230214037,24200.0,1.4841
01062,2026,934.0,6.57889354128235,27790.0,0.0
01063,2026,533.0,8.02919708029197,24930.0,0.0
01064,2026,1070.0,7.19684902097193,22230.0,1.4894
01065,2026,1812.0,5.82117078038267,25650.0,3.1455
01066,2026,89.0,14.2857142857143,21550.0,0.0
01067,2026,255.0,5.8892077185697,23180.0,30.1556
01068,2026,775.0,10.8174714487327,21270.0,0.0
01069,2026,1503.0,6.20572582056481,24070.0,2.7993
01071,2026,4808.0,7.04851700887033,39170.0,3.3743
01072,2026,3194.0,5.86929668858809,24450.0,4.1253
01073,2026,1000.0,5.67586588408599,23630.0,0.0
01074,2026,2589.0,6.93686671862821,22050.0,5.0588
01075,2026,1382.0,6.45600619677904,23890.0,0.9967
01076,2026,125.0,13.4615384615385,21600.0,0.0
01077,2026,196.0,8.33333333333333,21620.0,0.0
01078,2026,1557.0,6.68623361172113,40710.0,4.3106
01079,2026,811.0,7.14277571990945,21380.0,0.0
01080,2026,643.0,7.2556207682143,22060.0,0.0
01081,2026,735.0,8.98468443896326,25310.0,0.0
01082,2026,628.0,3.94681491316322,25150.0,0.0
01083,2026,927.0,5.36332179930796,23920.0,1.3384
01084,2026,895.0,5.7735555937378,22320.0,0.0
01085,2026,400.0,2.32558139534884,24350.0,0.0
01087,2026,282.0,7.30866831612477,24460.0,0.0
01088,2026,903.0,4.77461883480276,27040.0,1.402
01089,2026,2253.0,6.66224874930232,23440.0,4.3378
01090,2026,356.0,7.59591866680262,22780.0,0.0
01092,2026,1604.0,5.97641267347821,24440.0,2.4638
01093,2026,4931.0,8.81298665269766,21990.0,5.6504
01094,2026,761.0,7.04175715311058,22180.0,0.0
01095,2026,853.0,8.16831683168317,21550.0,0.0
01096,2026,1034.0,5.39674310925135,21890.0,0.0
01098,2026,1159.0,8.21233274107231,21250.0,2.7683
01099,2026,1566.0,6.52961109092037,24930.0,4.2892
01100,2026,131.0,17.6470588235294,20970.0,0.0
01101,2026,152.0,0.0,27470.0,0.0
01102,2026,961.0,5.02413812818134,22490.0,2.2222
01103,2026,2149.0,6.94780406847548,40750.0,3.259
01104,2026,461.0,5.21739130434783,25530.0,0.0
01105,2026,1829.0,5.48819265538157,27000.0,6.5017
01106,2026,179.0,10.126582278481,22170.0,0.0
01107,2026,133.0,5.97014925373134,22050.0,0.0
01108,2026,1176.0,6.66990837225748,21990.0,1.1029
01109,2026,2226.0,9.83248227943896,32180.0,3.7538
01110,2026,156.0,12.5,20480.0,0.0
01111,2026,132.0,3.125,21330.0,0.0
01112,2026,450.0,5.63798677886164,23770.0,0.0
01113,2026,817.0,8.51365659360295,22070.0,0.0
01114,2026,667.0,10.7044476538576,27400.0,0.0
01115,2026,1333.0,4.67914438502674,22470.0,1.9666
01116,2026,498.0,11.3987762788652,23090.0,0.0
01117,2026,151.0,10.0,21460.0,0.0
01118,2026,1278.0,4.63691438620789,25360.0,0.7502
01121,2026,116.0,12.1212121212121,23740.0,0.0
01123,2026,1162.0,6.17283950617284,24080.0,1.2723
01124,2026,689.0,9.49805304229011,22050.0,0.0
01125,2026,612.0,11.3536618322217,22480.0,0.0
01127,2026,508.0,9.76823359653061,23760.0,0.0
01128,2026,305.0,14.370791763284,21320.0,0.0
01129,2026,291.0,6.71793180763417,24560.0,0.0
01130,2026,2363.0,5.38585209003215,22850.0,4.5261
01133,2026,394.0,9.06827353051956,24120.0,0.0
01134,2026,1758.0,6.55737704918033,23110.0,3.0612
01135,2026,2171.0,6.61350670047816,40730.0,4.4208
01136,2026,893.0,8.17578094203902,23490.0,0.0
01138,2026,3004.0,12.7495374669027,20530.0,3.9558
01139,2026,444.0,7.60923072369145,19550.0,0.0
01140,2026,767.0,6.59914478101046,23500.0,0.0
01141,2026,453.0,10.1010101010101,25060.0,0.0
01142,2026,4777.0,8.07193642827269,24290.0,3.9011
01143,2026,9951.0,7.59658986827065,44820.0,4.202
01145,2026,1179.0,5.55179301344167,22310.0,0.0
01146,2026,436.0,5.85950644602032,22750.0,0.0
01147,2026,492.0,7.55350788797003,19880.0,0.0
01148,2026,1879.0,7.14037204904231,22720.0,1.9286
01149,2026,1076.0,9.47381332703076,26270.0,0.0
01150,2026,214.0,7.2,24280.0,0.0
01151,2026,1146.0,5.57599621514826,23260.0,4.627
01152,2026,748.0,6.51162790697674,26060.0,0.0
01153,2026,2115.0,7.5201516086051,47550.0,5.2456
01155,2026,143.0,4.22535211267606,22370.0,0.0
01156,2026,815.0,3.48794853987512,24600.0,0.0
01157,2026,2250.0,4.93527508090615,26090.0,3.6643
01158,2026,1048.0,7.89716572329221,34820.0,1.5404
01159,2026,3365.0,7.40927672272039,22850.0,3.6205
