code_commune;revenu_median;taux_pauvrete;nb_menages;nb_personnes
02059;16680;29;1163;2569
02060;21410;;109;265
02061;18380;;87;250
02062;24030;;55;141
02063;20640;;152;379
02064;19650;17;1665;3581
02065;19990;;235;557
02066;21930;;84;193
02067;21380;;87;208
02069;17770;;48;109
02070;19890;;183;440
02071;22220;;251;636
02072;23710;;74;172
02073;21690;;246;619
02074;20830;;230;584
02075;23340;;77;198
02076;25330;;60;165
02077;23260;;157;387
02078;19160;;61;167
02079;18980;;61;129
02080;26150;;144;332
02081;22120;;165;430
02082;23710;;48;119
02083;22380;;291;758
02084;22650;;97;246
02085;22730;;358;1066
02086;21330;;419;1019
02089;21050;;510;1171
02090;21930;;72;189
02093;19220;;523;1206
02094;24500;;182;478
02095;15180;37;2363;5486
02096;21650;;78;195
02097;18570;;103;260
02098;25560;;152;389
02099;23170;;87;226
02100;19050;;49;128
02101;20740;;70;166
02102;21780;;75;192
02103;19130;;555;1230
02104;24920;;42;103
02105;22380;;81;203
02106;18750;;277;691
02108;23590;;61;139
02109;20430;;201;487
02110;19260;21;912;2109
02111;21340;;273;693
02112;21190;;235;548
02114;22070;;611;1443
02115;19830;;86;196
02116;20570;;58;142
02118;23180;;49;121
02119;20490;;130;303
02120;21900;;75;192
02121;20190;;89;215
02123;21880;;127;291
02124;20810;;268;627
02125;23000;;70;195
02126;16720;;198;440
02127;20720;;84;196
02128;23650;;670;1473
02130;19310;;81;192
02131;22060;;772;1928
02132;22760;;75;203
02133;18940;;166;382
02134;19660;;353;822
02135;17930;;461;1078
02136;19180;;53;130
02137;22020;;51;134
02138;24550;;76;189
02139;22830;;183;474
02140;19140;;172;440
02141;17390;;767;1570
02142;23330;;90;242
02143;18460;;81;186
02144;22330;;49;139
02145;22460;;222;554
02148;21760;;103;243
02151;26580;;50;100
02153;22020;;319;802
02154;22880;;144;370
02155;24330;;78;181
02156;22430;;97;224
02157;21720;;359;837
02158;21400;;103;258
02159;19480;;117;296
02160;18700;;211;495
02162;21190;;105;298
02163;20490;16;1077;2577
02164;21240;;132;326
02165;19710;;720;1661
02166;22750;;159;365
02167;21860;;333;891
02168;18310;25;6976;15452
02170;22230;;54;126
02172;22980;;89;247
02173;17730;28;5364;11223
02174;21090;;312;850
02175;18780;;62;162
02176;18900;;78;218
02177;23910;;54;137
02178;21120;;43;107
02179;21500;;157;378
02180;20600;;282;732
02182;20430;;53;129
02183;24970;;78;187
02184;19970;;121;290
02185;20880;;150;405
02186;22910;;576;1310
02187;24050;;504;1175
02188;18250;;67;147
02189;19570;;136;308
02190;22050;;233;578
02191;21970;;207;484
02192;21880;;138;366
02194;19700;;87;202
02195;22930;;349;924
02196;24630;;138;314
02197;22090;;208;523
02198;22250;;93;241
02199;20320;;234;603
02200;18010;;44;110
02201;22880;;145;381
02203;19240;;500;1252
02205;19860;;83;218
02207;21910;;82;210
02208;23370;;109;274
02209;19770;;273;636
02210;21850;;141;371
02211;21490;;119;298
02212;20690;;291;679
02213;22270;;130;324
02215;21680;;308;768
02216;22500;;133;338
02217;20660;;383;857
02218;19950;;245;615
02219;19350;;77;181
02220;21100;;179;441
02221;23590;;56;154
02223;21430;;123;303
02224;19620;;135;365
02226;21510;;782;1876
02227;21940;;52;130
02228;21010;;122;324
02230;22710;;78;172
02231;19400;;370;914
02232;23050;;85;202
02233;19380;;53;125
02235;20650;;46;107
02236;20250;;127;339
02237;19200;;570;1331
02238;19400;;714;1724
02239;20320;;470;1135
02240;21060;;86;200
02242;23120;;259;605
02243;19950;17;1287;2892
02245;20650;;674;1606
02246;20930;;240;590
02248;18310;;58;151
02249;21730;;45;115
02253;23840;;151;385
02254;22880;;53;143
02255;20560;;62;155
02256;18280;;50;120
02257;25580;;178;441
02258;21550;;151;387
02259;25060;;155;403
02260;17790;;255;631
02261;20340;;166;392
02262;22740;;86;200
02263;20190;;44;113
02264;18130;;305;733
02267;21180;;114;298
02268;22150;;275;680
02269;20620;;57;141
02270;19490;;65;166
02271;19560;;53;130
02273;22080;;81;200
02274;20250;;69;174
02275;16260;;141;327
02276;22770;;51;120
02277;19950;;133;347
02279;24030;;233;584
